date,standard_index_nonparametric
1981-01-01,2.1318229642538755
1981-02-01,2.1318229642538755
1981-03-01,0.7070911613346768
1981-04-01,0.030992626726089822
1981-05-01,0.3483119443984253
1981-06-01,-0.7894077433740978
1981-07-01,-1.3353883484831062
1981-08-01,-1.7359295623861235
1981-09-01,-1.505661780548937
1981-10-01,0.6293134513131327
1981-11-01,1.335388348483105
1981-12-01,1.1968673980543945
1982-01-01,0.8774577368523057
1982-02-01,0.15567612160303024
1982-03-01,0.9728954336959409
1982-04-01,1.335388348483105
1982-05-01,1.1968673980543945
1982-06-01,0.9728954336959409
1982-07-01,0.15567612160303024
1982-08-01,0.8774577368523057
1982-09-01,2.1318229642538755
1982-10-01,2.1318229642538755
1982-11-01,2.1318229642538755
1982-12-01,2.1318229642538755
1983-01-01,1.7359295623861226
1983-02-01,1.335388348483105
1983-03-01,2.1318229642538755
1983-04-01,2.1318229642538755
1983-05-01,1.335388348483105
1983-06-01,0.48398663359034
1983-07-01,0.4151839393018655
1983-08-01,0.3483119443984253
1983-09-01,1.0781253499132781
1983-10-01,0.48398663359034
1983-11-01,2.1318229642538755
1983-12-01,2.1318229642538755
1984-01-01,0.9728954336959409
1984-02-01,-0.34831194439842594
1984-03-01,-1.0781253499132786
1984-04-01,-0.8774577368523062
1984-05-01,-1.1968673980543945
1984-06-01,-0.9728954336959409
1984-07-01,-1.7359295623861235
1984-08-01,-1.505661780548937
1984-09-01,-1.7359295623861235
1984-10-01,0.5551774750528373
1984-11-01,1.335388348483105
1984-12-01,1.335388348483105
1985-01-01,0.48398663359034
1985-02-01,-0.6293134513131331
1985-03-01,-0.15567612160303113
1985-04-01,-0.6293134513131331
1985-05-01,-0.7070911613346773
1985-06-01,-1.7359295623861235
1985-07-01,-1.1968673980543945
1985-08-01,-0.9728954336959409
1985-09-01,0.28298533169807283
1985-10-01,0.7894077433740975
1985-11-01,0.9728954336959409
1985-12-01,0.4151839393018655
1986-01-01,0.21887147111503524
1986-02-01,0.9728954336959409
1986-03-01,1.1968673980543945
1986-04-01,1.7359295623861226
1986-05-01,0.15567612160303024
1986-06-01,-0.4151839393018659
1986-07-01,-0.7894077433740978
1986-08-01,-1.0781253499132786
1986-09-01,1.5056617805489365
1986-10-01,0.28298533169807283
1986-11-01,-0.7070911613346773
1986-12-01,-1.3353883484831062
1987-01-01,-1.1968673980543945
1987-02-01,-0.555177475052838
1987-03-01,0.030992626726089822
1987-04-01,-0.2829853316980733
1987-05-01,-0.4151839393018659
1987-06-01,-1.505661780548937
1987-07-01,0.3483119443984253
1987-08-01,0.48398663359034
1987-09-01,0.4151839393018655
1987-10-01,-0.7894077433740978
1987-11-01,-0.4151839393018659
1987-12-01,-0.555177475052838
1988-01-01,-0.4151839393018659
1988-02-01,-1.0781253499132786
1988-03-01,-1.3353883484831062
1988-04-01,-1.1968673980543945
1988-05-01,-0.48398663359034066
1988-06-01,0.5551774750528373
1988-07-01,0.09313250990276134
1988-08-01,-0.4151839393018659
1988-09-01,-1.3353883484831062
1988-10-01,-1.505661780548937
1988-11-01,-0.34831194439842594
1988-12-01,-0.4151839393018659
1989-01-01,-0.555177475052838
1989-02-01,-0.8774577368523062
1989-03-01,-0.34831194439842594
1989-04-01,-0.48398663359034066
1989-05-01,-0.15567612160303113
1989-06-01,-0.8774577368523062
1989-07-01,-0.7070911613346773
1989-08-01,-0.093132509902762
1989-09-01,2.1318229642538755
1989-10-01,1.7359295623861226
1989-11-01,0.9728954336959409
1989-12-01,-0.6293134513131331
1990-01-01,-0.9728954336959409
1990-02-01,-0.9728954336959409
1990-03-01,-0.7070911613346773
1990-04-01,-0.7894077433740978
1990-05-01,-0.093132509902762
1990-06-01,0.4151839393018655
1990-07-01,0.8774577368523057
1990-08-01,-0.030992626726090267
1990-09-01,-0.7070911613346773
1990-10-01,-1.3353883484831062
1990-11-01,-1.505661780548937
1990-12-01,-1.7359295623861235
1991-01-01,-1.7359295623861235
1991-02-01,-1.7359295623861235
1991-03-01,0.4151839393018655
1991-04-01,0.9728954336959409
1991-05-01,1.335388348483105
1991-06-01,-0.093132509902762
1991-07-01,0.6293134513131327
1991-08-01,0.7894077433740975
1991-09-01,-0.555177475052838
1991-10-01,0.9728954336959409
1991-11-01,-0.093132509902762
1991-12-01,-0.48398663359034066
1992-01-01,-1.0781253499132786
1992-02-01,0.09313250990276134
1992-03-01,0.09313250990276134
1992-04-01,0.21887147111503524
1992-05-01,-1.0781253499132786
1992-06-01,-1.3353883484831062
1992-07-01,-0.21887147111503547
1992-08-01,0.6293134513131327
1992-09-01,-0.21887147111503547
1992-10-01,-0.2829853316980733
1992-11-01,-0.8774577368523062
1992-12-01,-0.093132509902762
1993-01-01,1.0781253499132781
1993-02-01,1.5056617805489365
1993-03-01,1.335388348483105
1993-04-01,0.48398663359034
1993-05-01,0.09313250990276134
1993-06-01,0.6293134513131327
1993-07-01,1.335388348483105
1993-08-01,1.7359295623861226
1993-09-01,0.21887147111503524
1993-10-01,-0.7070911613346773
1993-11-01,-0.555177475052838
1993-12-01,-0.7894077433740978
1994-01-01,-0.6293134513131331
1994-02-01,-0.4151839393018659
1994-03-01,-0.8774577368523062
1994-04-01,-0.555177475052838
1994-05-01,-0.6293134513131331
1994-06-01,0.21887147111503524
1994-07-01,0.48398663359034
1994-08-01,-0.7894077433740978
1994-09-01,-0.6293134513131331
1994-10-01,-0.15567612160303113
1994-11-01,0.4151839393018655
1994-12-01,-0.15567612160303113
1995-01-01,1.335388348483105
1995-02-01,0.7894077433740975
