date,standard_index_gamma
1981-02-01,0.35097813216597906
1981-03-01,0.20661863367911892
1981-04-01,0.6741774579451825
1981-05-01,-0.23077233247408646
1981-06-01,-0.4422548250560019
1981-07-01,-0.5520592965897126
1981-08-01,0.5520592965897126
1981-09-01,-0.1585507047807848
1981-10-01,0.9891497596818122
1981-11-01,1.8335656747124927
1981-12-01,1.0448726731527034
1982-01-01,0.21240437287134917
1982-02-01,0.3627169455457424
1982-03-01,0.9655490355343036
1982-04-01,1.3486811587945966
1982-05-01,0.8575317230393
1982-06-01,-1.0578332854244423
1982-07-01,0.24738636631174749
1982-08-01,0.9661794995211442
1982-09-01,3.165967700972051
1982-10-01,2.2292849150339484
1982-11-01,1.9378342857900672
1982-12-01,1.2765624599907204
1983-01-01,1.1146309581546694
1983-02-01,1.1743425775248322
1983-03-01,1.7511598356691125
1983-04-01,1.4980112614357353
1983-05-01,0.48607315629673553
1983-06-01,-0.08899331371159303
1983-07-01,-0.3558338067086737
1983-08-01,0.9484020056647131
1983-09-01,2.4462591128208997
1983-10-01,0.9019443658045391
1983-11-01,2.06023060639453
1983-12-01,1.9412463372625546
1984-01-01,-0.29686756151558846
1984-02-01,-0.9953925372131344
1984-03-01,-0.6048992315444628
1984-04-01,-0.5816777435477505
1984-05-01,-0.7985347024363738
1984-06-01,-1.1200044979055466
1984-07-01,-0.01863818648454907
1984-08-01,0.5520592965897126
1984-09-01,-0.12131350227884052
1984-10-01,0.9660760813701575
1984-11-01,1.8498766472703423
1984-12-01,1.0483007305987369
1985-01-01,-0.5942946059176792
1985-02-01,-0.7312768618232008
1985-03-01,0.0015507742538514169
1985-04-01,-0.011021391864125984
1985-05-01,-2.251690746708369
1985-06-01,-0.5001751862512935
1985-07-01,0.7091232532771212
1985-08-01,0.8135821543155458
1985-09-01,1.6847153661885874
1985-10-01,0.49468918018516206
1985-11-01,1.122370330211861
1985-12-01,0.4124544800210843
1986-01-01,-0.30070509797897116
1986-02-01,1.12673601884558
1986-03-01,1.6244425031863685
1986-04-01,0.5654458863360048
1986-05-01,-0.3333077796765276
1986-06-01,-0.6026366066181736
1986-07-01,-0.5520592965897126
1986-08-01,0.5520592965897126
1986-09-01,2.622408053977794
1986-10-01,0.39254330062416454
1986-11-01,-1.929584406286851
1986-12-01,-1.6313797231963685
1987-01-01,-0.9391674390701436
1987-02-01,-0.08819819143541352
1987-03-01,0.6304209478749525
1987-04-01,0.2443722706191509
1987-05-01,-0.9172452456387015
1987-06-01,0.025532370564081974
1987-07-01,0.4705987582118383
1987-08-01,0.5520592965897126
1987-09-01,0.07414214254274909
1987-10-01,-0.16330582514151448
1987-11-01,-0.11521657512717431
1987-12-01,-0.31967049740848985
1988-01-01,-0.39600191212398594
1988-02-01,-0.925127199736444
1988-03-01,-1.9755137825385747
1988-04-01,-0.09831578044488909
1988-05-01,0.5795677706535514
1988-06-01,-0.06416965286486986
1988-07-01,0.11613586061192183
1988-08-01,0.5520592965897126
1988-09-01,-0.12131350227884052
1988-10-01,-0.9891282028409888
1988-11-01,-0.025652955955699275
1988-12-01,-0.004304225382000926
1989-01-01,-0.8089448419526829
1989-02-01,-1.071905124290865
1989-03-01,-0.08075019200973044
1989-04-01,0.1345559665867242
1989-05-01,-1.4874655805772634
1989-06-01,-1.0728498908994695
1989-07-01,-0.018638186484551067
1989-08-01,0.8341249648245792
1989-09-01,3.0283848461132097
1989-10-01,1.8195499147018088
1989-11-01,0.9356690997039617
1989-12-01,-1.4855776867016246
1990-01-01,-1.35060167160484
1990-02-01,-0.32149398804969187
1990-03-01,-0.5725739458265608
1990-04-01,-0.3772231229050238
1990-05-01,0.6295004732348908
1990-06-01,1.0804840604271786
1990-07-01,0.02842581796814625
1990-08-01,0.5524489239915233
1990-09-01,-0.12131350227884052
1990-10-01,-0.9456000931058348
1990-11-01,-1.5177218088318862
1990-12-01,-1.8222857789825895
1991-01-01,-2.391810206354992
1991-02-01,-1.4270632842333333
1991-03-01,1.2641970929355095
1991-04-01,1.2552933164360338
1991-05-01,-1.136360830110295
1991-06-01,-0.202219575850195
1991-07-01,0.7432721536808291
1991-08-01,1.3235531556281157
1991-09-01,0.2827042894726086
1991-10-01,1.494819370104656
1991-11-01,0.5684812197434115
1991-12-01,-1.3763865582166344
1992-01-01,-1.024477546583468
1992-02-01,0.4046470481975737
1992-03-01,0.820781733588821
1992-04-01,-0.34717268180561756
1992-05-01,-1.508227456102556
1992-06-01,-0.7443980294297883
1992-07-01,0.8174640364397563
1992-08-01,1.5650561925186963
1992-09-01,-0.1675553012840909
1992-10-01,0.5017189364467793
1992-11-01,-0.5607099283010071
1992-12-01,0.0008364195360641702
1993-01-01,1.3366443641861743
1993-02-01,1.2958573199649885
